site,culture,region,ID,species,n. of samples,d13C,unc,d15N,unc,%C,%N,C:N,reference,comment
Vráble,LBK,South Central,7153.00,Bos,1.00,-20.10,n.a.,8.4,n.a.,43.60,16.60,3.10,Gillis et al. 2020,
Vráble,LBK,South Central,7154.00,Bos,1.00,-19.50,n.a.,10.6,n.a.,40.90,13.70,3.60,Gillis et al. 2020,
Vráble,LBK,South Central,7155.00,Bos,1.00,-19.90,n.a.,8.0,n.a.,43.10,16.30,3.10,Gillis et al. 2020,
Vráble,LBK,South Central,7156.00,Bos,1.00,-18.90,n.a.,11.3,n.a.,43.10,16.40,3.10,Gillis et al. 2020,
Vráble,LBK,South Central,7157.00,Bos,1.00,-20.30,n.a.,9.5,n.a.,43.40,16.30,3.10,Gillis et al. 2020,
Vráble,LBK,South Central,7165.00,Bos,1.00,-20.10,n.a.,9.8,n.a.,43.80,16.70,3.10,Gillis et al. 2020,
Vráble,LBK,South Central,7152.00,Bos,1.00,-20.50,n.a.,9.5,n.a.,44.20,17.40,3.00,Gillis et al. 2020,
Vráble,LBK,South Central,7158.00,Bos,1.00,-20.50,n.a.,8.4,n.a.,44.50,16.90,3.10,Gillis et al. 2020,
Vráble,LBK,South Central,7160.00,Bos,1.00,-20.20,n.a.,8.2,n.a.,39.70,15.00,3.10,Gillis et al. 2020,
Vráble,LBK,South Central,7161.00,Bos,1.00,-20.30,n.a.,7.9,n.a.,44.50,16.90,3.10,Gillis et al. 2020,
Vráble,LBK,South Central,7162.00,Bos,1.00,-19.70,n.a.,9.0,n.a.,45.90,17.40,3.10,Gillis et al. 2020,
Vráble,LBK,South Central,7163.00,Bos,1.00,-19.60,n.a.,10.1,n.a.,43.10,16.50,3.00,Gillis et al. 2020,
Vráble,LBK,South Central,7164.00,Bos,1.00,-19.70,n.a.,8.8,n.a.,44.70,17.10,3.10,Gillis et al. 2020,
Vráble,LBK,South Central,7145.00,Bos,1.00,-20.10,n.a.,6.9,n.a.,42.60,15.90,3.10,Gillis et al. 2020,
Vráble,LBK,South Central,7146.00,Bos,1.00,-20.00,n.a.,8.0,n.a.,43.70,16.10,3.20,Gillis et al. 2020,
Vráble,LBK,South Central,7147.00,Bos,1.00,-20.70,n.a.,10.1,n.a.,44.00,16.60,3.10,Gillis et al. 2020,
Vráble,LBK,South Central,7148.00,Bos,1.00,-16.00,n.a.,8.5,n.a.,44.20,16.30,3.20,Gillis et al. 2020,
Vráble,LBK,South Central,7149.00,Bos,1.00,-20.50,n.a.,7.1,n.a.,43.70,16.20,3.20,Gillis et al. 2020,
Vráble,LBK,South Central,7150.00,Bos,1.00,-20.00,n.a.,10.3,n.a.,43.00,16.10,3.10,Gillis et al. 2020,
Vráble,LBK,South Central,7151.00,Bos,1.00,-20.70,n.a.,9.6,n.a.,42.90,16.20,3.10,Gillis et al. 2020,
Vráble,LBK,South Central,7169.00,O/C,1.00,-20.00,n.a.,9.2,n.a.,43.80,16.20,3.20,Gillis et al. 2020,
Vráble,LBK,South Central,7170.00,O/C,1.00,-19.60,n.a.,10.2,n.a.,45.20,17.00,3.10,Gillis et al. 2020,
Vráble,LBK,South Central,7171.00,O/C,1.00,-21.30,n.a.,9.1,n.a.,44.00,16.40,3.10,Gillis et al. 2020,
Vráble,LBK,South Central,7178.00,O/C,1.00,-20.10,n.a.,8.1,n.a.,45.30,17.10,3.10,Gillis et al. 2020,
Vráble,LBK,South Central,7172.00,O/C,1.00,-20.40,n.a.,8.8,n.a.,44.10,16.10,3.20,Gillis et al. 2020,
Vráble,LBK,South Central,7173.00,O/C,1.00,-20.70,n.a.,9.6,n.a.,43.50,15.80,3.20,Gillis et al. 2020,
Vráble,LBK,South Central,7174.00,O/C,1.00,-20.20,n.a.,9.7,n.a.,45.10,16.60,3.20,Gillis et al. 2020,
Vráble,LBK,South Central,7175.00,O/C,1.00,-19.30,n.a.,11.7,n.a.,43.90,15.90,3.20,Gillis et al. 2020,
Vráble,LBK,South Central,7176.00,O/C,1.00,-20.40,n.a.,9.9,n.a.,44.40,16.30,3.20,Gillis et al. 2020,
Vráble,LBK,South Central,7177.00,O/C,1.00,-20.20,n.a.,10.8,n.a.,44.30,16.60,3.10,Gillis et al. 2020,
Vráble,LBK,South Central,7166.00,O/C,1.00,-20.80,n.a.,9.0,n.a.,43.60,16.30,3.10,Gillis et al. 2020,
