dna_ID,isotope_ID,metric_ID,paleopath_ID,Country,Site,Region,Date,Latitude,Longitude,Sex,nealeClump_prs,siblingClump_prs,nealeLDpred_prs,siblingLDpred_prs,coverage,d13C,d15N,age,method,stature,femur_measured,femur_estimated,femur_method,LEH,PH,CO,dna_ref,metric_ref,isotope_ref,paleopath_ref,whgProp
,,"Talheim, Flur ""Pfädlen""_83/18B",,Germany,"Talheim, Flur ""Pfädlen""",South Central,6950,49.08,9.19,M,NA,NA,NA,NA,NA,NA,NA,NA,Pearson1899,164.2,NA,44.09,Pearson1899,NA,NA,NA,,Rosenstock2015LiVES,,,NA
,,"Talheim, Flur ""Pfädlen""_83/20A",,Germany,"Talheim, Flur ""Pfädlen""",South Central,6950,49.08,9.19,F,NA,NA,NA,NA,NA,NA,NA,NA,Pearson1899,152.6,NA,41.01,Pearson1899,NA,NA,NA,,Rosenstock2015LiVES,,,NA
,,"Talheim, Flur ""Pfädlen""_83/22A",,Germany,"Talheim, Flur ""Pfädlen""",South Central,6950,49.08,9.19,F,NA,NA,NA,NA,NA,NA,NA,NA,Pearson1899,149.5,NA,39.41,Pearson1899,NA,NA,NA,,Rosenstock2015LiVES,,,NA
,,"Talheim, Flur ""Pfädlen""_83/6B",,Germany,"Talheim, Flur ""Pfädlen""",South Central,6950,49.08,9.19,F,NA,NA,NA,NA,NA,NA,NA,NA,Pearson1899,152.6,NA,41.01,Pearson1899,NA,NA,NA,,Rosenstock2015LiVES,,,NA
,,"Talheim, Flur ""Pfädlen""_83/7",,Germany,"Talheim, Flur ""Pfädlen""",South Central,6950,49.08,9.19,M,NA,NA,NA,NA,NA,NA,NA,NA,Pearson1899,166.8,NA,45.48,Pearson1899,NA,NA,NA,,Rosenstock2015LiVES,,,NA
,,"Talheim, Flur ""Pfädlen""_83/8",,Germany,"Talheim, Flur ""Pfädlen""",South Central,6950,49.08,9.19,M,NA,NA,NA,NA,NA,NA,NA,NA,Pearson1899,164.1,NA,44.04,Pearson1899,NA,NA,NA,,Rosenstock2015LiVES,,,NA
,,"Talheim, Flur ""Pfädlen""_84/14+29+31",,Germany,"Talheim, Flur ""Pfädlen""",South Central,6950,49.08,9.19,F,NA,NA,NA,NA,NA,NA,NA,NA,Pearson1899,151.9,NA,40.65,Pearson1899,NA,NA,NA,,Rosenstock2015LiVES,,,NA
,,"Talheim, Flur ""Pfädlen""_84/2",,Germany,"Talheim, Flur ""Pfädlen""",South Central,6950,49.08,9.19,M,NA,NA,NA,NA,NA,NA,NA,NA,Pearson1899,163.9,NA,43.93,Pearson1899,NA,NA,NA,,Rosenstock2015LiVES,,,NA
,,"Talheim, Flur ""Pfädlen""_84/30+83/19",,Germany,"Talheim, Flur ""Pfädlen""",South Central,6950,49.08,9.19,F,NA,NA,NA,NA,NA,NA,NA,NA,Pearson1899,151.9,NA,40.65,Pearson1899,NA,NA,NA,,Rosenstock2015LiVES,,,NA
,,"Talheim, Flur ""Pfädlen""_84/4",,Germany,"Talheim, Flur ""Pfädlen""",South Central,6950,49.08,9.19,F,NA,NA,NA,NA,NA,NA,NA,NA,Pearson1899,151,NA,40.18,Pearson1899,NA,NA,NA,,Rosenstock2015LiVES,,,NA
,,Wiederstedt_2931,,Germany,Wiederstedt,North Central,7150,51.66,11.53,M,NA,NA,NA,NA,NA,NA,NA,NA,Breitinger1937,169,NA,45.54,Breitinger1937,NA,NA,NA,,Rosenstock2015LiVES,,,NA
,,Wiederstedt_2932,,Germany,Wiederstedt,North Central,7150,51.66,11.53,F,NA,NA,NA,NA,NA,NA,NA,NA,Bach1965,156,NA,37.56,Bach1965,NA,NA,NA,,Rosenstock2015LiVES,,,NA
,,Wulfen_271,,Germany,Wulfen,North Central,7150,51.82,11.92,F,NA,NA,NA,NA,NA,NA,NA,NA,Bach1965,154,NA,36.03,Bach1965,NA,NA,NA,,Rosenstock2015LiVES,,,NA
,,"Wulfen, Kr. Köthen_57/29",,Germany,"Wulfen, Kr. Köthen",North Central,7150,51.83,11.94,F,NA,NA,NA,NA,NA,NA,NA,NA,Bach1965,154,NA,36.03,Bach1965,NA,NA,NA,,Rosenstock2015LiVES,,,NA
,Karsdorf 14,14,Karsdorf_14,Germany,Karsdorf,North Central,7070,51.28,11.65,M,NA,NA,NA,NA,NA,-20,8.5,50,NA,NA,43.55,43.55,Measured,N,Y,Y,,Nicklisch2017monograph,Oelze2011JArchSci; Münster2018PLoSOne,Nicklisch2017monograph,NA
,Karsdorf 122,122,Karsdorf_122,Germany,Karsdorf,North Central,7070,51.28,11.65,M,NA,NA,NA,NA,NA,-19.9,9.3,30,NA,NA,44.8,44.8,Measured,NA,Y,Y,,Nicklisch2017monograph,Oelze2011JArchSci; Münster2018PLoSOne,Nicklisch2017monograph,NA
,Karsdorf 303,303,Karsdorf_303,Germany,Karsdorf,North Central,7070,51.28,11.65,M,NA,NA,NA,NA,NA,-20.5,9.8,30,NA,NA,44.05,44.05,Measured,NA,Y,Y,,Nicklisch2017monograph,Oelze2011JArchSci; Münster2018PLoSOne,Nicklisch2017monograph,NA
,Karsdorf 304,304,Karsdorf_304,Germany,Karsdorf,North Central,7070,51.28,11.65,M,NA,NA,NA,NA,NA,-20.3,8.8,30,NA,NA,41.3,41.3,Measured,NA,Y,Y,,Nicklisch2017monograph,Oelze2011JArchSci; Münster2018PLoSOne,Nicklisch2017monograph,NA
