WHG EF ID Region Sex
1e-05 0.99999 I0797 North Central M
1e-05 0.99999 I0795 North Central M
0.030396 0.969604 I0176 South Central F
1e-05 0.99999 I0174 South Central M
0.011165 0.988835 I0022 South Central F
1e-05 0.99999 I0026 South Central F
1e-05 0.99999 I1508 South Central F
0.99999 1e-05 I1507 HG M
1e-05 0.99999 I1496 South Central M
0.99999 1e-05 KO1_published.SG HG M
0.104799 0.895201 NE1.SG South Central NA
0.040175 0.959825 I0025 South Central F
0.013193 0.986807 I0054 North Central F
1e-05 0.99999 NE6.SG South Central NA
1e-05 0.99999 I1904 South Central M
1e-05 0.99999 I1876 South Central M
0.030656 0.969344 I1882 South Central M
0.031365 0.968635 I1883 South Central M
0.057206 0.942794 I2355 South Central NA
0.99999 1e-05 I2357 South Central NA
1e-05 0.99999 I2374 South Central M
0.024077 0.975923 I0056 North Central M
1e-05 0.99999 I0100 North Central F
1e-05 0.99999 I2014 North Central M
1e-05 0.99999 I2020 North Central M
1e-05 0.99999 I2022 North Central F
1e-05 0.99999 I3536 South Central F
0.035362 0.964638 I4181 South Central F
1e-05 0.99999 I4196 South Central F
0.012924 0.987076 I0018 South Central F
0.99999 1e-05 I4971 HG M
0.23321 0.76679 I4972 South Central F
0.032007 0.967993 I5068 South Central M
1e-05 0.99999 I5069 South Central F
1e-05 0.99999 I5070 South Central M
0.011146 0.988854 I5204 South Central M
0.000648 0.999352 I5205 South Central F
1e-05 0.99999 I5206 South Central F
1e-05 0.99999 I2794 South Central F
1e-05 0.99999 I5207 South Central M
1e-05 0.99999 I5208 South Central F
0.033528 0.966472 I2373 South Central F
0.235279 0.764721 I6912_all_published South Central NA
1e-05 0.99999 I2739_published South Central M
0.029351 0.970649 I1878_published South Central M
1e-05 0.99999 I0046_published North Central F
1e-05 0.99999 I0659_published North Central M
1e-05 0.99999 I0048_published North Central M
0.022402 0.977598 I1550_published North Central F
1e-05 0.99999 I0821_published North Central M
0.008167 0.991833 I0057_published North Central F
1e-05 0.99999 I2005_published North Central F
1e-05 0.99999 I2008_published North Central F
1e-05 0.99999 I2016_published North Central F
1e-05 0.99999 I2017_published North Central F
0.001624 0.998376 I2021_published North Central M
0.00286 0.99714 I2026_published North Central M
0.012261 0.987739 I2029_published North Central F
1e-05 0.99999 I2030_published North Central F
1e-05 0.99999 I2032_published North Central F
1e-05 0.99999 I2036_published North Central F
1e-05 0.99999 I2037_published North Central M
1e-05 0.99999 I2038_published North Central F
1e-05 0.99999 I1880 South Central M
0.060546 0.939454 HBS002 North Central M
1e-05 0.99999 HBS004 North Central M
0.041214 0.958786 HBS005 North Central M
1e-05 0.99999 HBS006 North Central M
1e-05 0.99999 HBS007 North Central M
1e-05 0.99999 HBS008 North Central M
1e-05 0.99999 HBS009 North Central M
0.007408 0.992592 SCH001 South Central F
0.075537 0.924463 SCH004 South Central M
0.018915 0.981085 SCH007 South Central F
0.013292 0.986708 SCH009 South Central F
1e-05 0.99999 SCH010 South Central F
0.036634 0.963366 SCH011 South Central M
1e-05 0.99999 SCH014 South Central F
0.012045 0.987955 SCH015 South Central F
1e-05 0.99999 SCH016 South Central M
1e-05 0.99999 SCH018 South Central M
0.002843 0.997157 SMH004 South Central F
