dna_ID,PC1,PC2,Ethnicity,Region
HGDP00511,-0.0298,0.0123,French,modern
HGDP00512,-0.0258,0.0108,French,modern
HGDP00513,-0.0271,0.0132,French,modern
HGDP00514,-0.0298,0.0112,French,modern
HGDP00515,-0.0313,0.0138,French,modern
HGDP00516,-0.0251,0.0054,French,modern
HGDP00517,-0.0285,0.0129,French,modern
HGDP00518,-0.0302,0.0123,French,modern
HGDP00519,-0.0348,0.0069,French,modern
HGDP00522,-0.0278,0.0105,French,modern
HGDP00523,-0.0337,0.0119,French,modern
HGDP00524,-0.0261,0.0188,French,modern
HGDP00525,-0.0269,0.0116,French,modern
HGDP00526,-0.03,0.0102,French,modern
HGDP00527,-0.0296,0.0114,French,modern
HGDP00528,-0.0292,0.0114,French,modern
HGDP00529,-0.0268,0.0117,French,modern
HGDP00531,-0.0285,0.0246,French,modern
HGDP00533,-0.0367,0.0044,French,modern
HGDP00534,-0.029,0.0115,French,modern
HGDP00535,-0.0344,0.0078,French,modern
HGDP00536,-0.0212,0.0157,French,modern
HGDP00537,-0.0264,0.0122,French,modern
HGDP00538,-0.027,0.0132,French,modern
HGDP00539,-0.026,0.0156,French,modern
HGDP00557,0.0301,-0.0142,Druze,modern
HGDP00558,0.0327,-0.0167,Druze,modern
HGDP00559,0.0277,-0.0159,Druze,modern
HGDP00560,0.031,-0.0231,Druze,modern
HGDP00561,0.0294,-0.0111,Druze,modern
HGDP00562,0.0298,-0.0141,Druze,modern
HGDP00563,0.0302,-0.0111,Druze,modern
HGDP00564,0.0286,-0.0149,Druze,modern
HGDP00565,0.0328,-0.016,Druze,modern
HGDP00566,0.0302,-0.0059,Druze,modern
HGDP00567,0.035,-0.0175,Druze,modern
HGDP00568,0.0303,-0.0259,Druze,modern
HGDP00569,0.0277,-0.0127,Druze,modern
HGDP00571,0.0241,-0.0169,Druze,modern
HGDP00572,0.0326,-0.0173,Druze,modern
HGDP00573,0.0298,-0.0146,Druze,modern
HGDP00574,0.0347,-0.0204,Druze,modern
HGDP00575,0.0306,-0.0191,Druze,modern
HGDP00577,0.0322,-0.017,Druze,modern
HGDP00578,0.0297,-0.0083,Druze,modern
HGDP00579,0.0267,-0.0067,Druze,modern
HGDP00580,0.0256,-0.0115,Druze,modern
HGDP00582,0.0305,-0.0106,Druze,modern
HGDP00583,0.0327,-0.0257,Druze,modern
HGDP00584,0.0266,-0.0137,Druze,modern
HGDP00586,0.0288,-0.0061,Druze,modern
HGDP00587,0.0243,-0.01,Druze,modern
HGDP00588,0.0343,-0.0179,Druze,modern
HGDP00591,0.0275,-0.0173,Druze,modern
HGDP00594,0.0312,-0.0091,Druze,modern
HGDP00595,0.0283,-0.0193,Druze,modern
HGDP00597,0.029,-0.0093,Druze,modern
HGDP00598,0.0318,-0.0122,Druze,modern
HGDP00599,0.0252,-0.0208,Druze,modern
HGDP00600,0.0276,-0.0069,Druze,modern
HGDP00601,0.0337,-0.0167,Druze,modern
HGDP00602,0.0248,-0.0092,Druze,modern
HGDP00604,0.0315,-0.0205,Druze,modern
HGDP00606,0.0273,-0.0113,Druze,modern
HGDP00607,0.0727,0.0589,BedouinB,modern
HGDP00608,0.0598,0.0376,BedouinB,modern
HGDP00609,0.0501,0.0173,BedouinA,modern
HGDP00610,0.0737,0.0725,BedouinB,modern
HGDP00611,0.0796,0.0688,BedouinA,modern
HGDP00612,0.0771,0.0762,BedouinB,modern
HGDP00613,0.0429,0.0026,BedouinA,modern
HGDP00614,0.0543,0.0163,BedouinA,modern
HGDP00615,0.0508,0.0144,BedouinA,modern
HGDP00616,0.0713,0.0794,BedouinB,modern
HGDP00618,0.0746,0.0711,BedouinB,modern
HGDP00619,0.0464,0.0108,BedouinA,modern
HGDP00620,0.0625,0.0263,BedouinA,modern
HGDP00622,0.0521,0.0189,BedouinA,modern
HGDP00623,0.0739,0.066,BedouinB,modern
HGDP00624,0.071,0.0559,BedouinB,modern
HGDP00625,0.0465,0.0189,BedouinA,modern
HGDP00626,0.0508,0.0186,BedouinA,modern
HGDP00628,0.0504,0.0183,BedouinA,modern
HGDP00629,0.0475,0.0164,BedouinA,modern
HGDP00630,0.0785,0.0856,BedouinB,modern
HGDP00631,0.0776,0.0766,BedouinB,modern
HGDP00632,0.0746,0.048,BedouinA,modern
HGDP00634,0.0683,0.041,BedouinA,modern
HGDP00635,0.048,0.0122,BedouinA,modern
HGDP00636,0.0672,0.048,BedouinB,modern
HGDP00637,0.0513,0.0122,BedouinA,modern
HGDP00638,0.0601,0.0326,BedouinA,modern
HGDP00639,0.0514,0.0273,BedouinA,modern
HGDP00640,0.0689,0.0465,BedouinA,modern
HGDP00641,0.0686,0.0578,BedouinB,modern
HGDP00642,0.0524,0.0145,BedouinA,modern
HGDP00643,0.069,0.062,BedouinB,modern
HGDP00644,0.043,0.0077,BedouinA,modern
HGDP00645,0.0478,0.0089,BedouinA,modern
HGDP00646,0.0867,0.0769,BedouinA,modern
HGDP00647,0.0464,0.013,BedouinA,modern
HGDP00648,0.0683,0.0615,BedouinB,modern
HGDP00649,0.0736,0.0738,BedouinB,modern
