dna_ID,Country,Site,Region,Date,Latitude,Longitude,Sex,combo_prs,asMales_prs,asFemales_prs,sexspec_prs
I0707,Turkey,Barçin,anatoliaEF,8096,40.3037,29.57,F,2.272010629,2.257011969,1.637787808,2.153588159
I0708,Turkey,Barçin,anatoliaEF,8101,40.3037,29.6085,M,1.263930208,1.589798017,1.501021043,1.541630206
I0709,Turkey,Barçin,anatoliaEF,8085,40.3037,29.6085,M,0.516789046,0.644102471,0.204368186,0.24054795
I0736,Turkey,Barçin,anatoliaEF,8300,40.3037,29.6085,F,1.307732724,0.787066866,0.637076633,0.734856453
I0744,Turkey,Barçin,anatoliaEF,8270,40.3037,29.6085,M,0.313194395,0.442491289,0.503434011,0.540635391
I0745,Turkey,Barçin,anatoliaEF,8243,40.3037,29.6085,M,-0.699040819,-0.724979956,-0.889896246,-0.857454517
I0854_published,Turkey,Barçin,anatoliaEF,8104,40.3037,29.6085,F,0.7917272,-0.1749513,0.1527783,0.122666748
I1096,Turkey,Barçin,anatoliaEF,8300,40.3037,29.6085,M,1.685089109,1.478753031,1.37376616,1.413940617
I1097,Turkey,Barçin,anatoliaEF,8282,40.3037,29.6085,M,-0.324963079,-0.409844556,-0.6296786,-0.596347961
I1098,Turkey,Barçin,anatoliaEF,8282,40.3037,29.6085,F,1.554829171,1.568610327,2.470650417,1.489170669
I1099,Turkey,Barçin,anatoliaEF,8300,40.3037,29.6085,M,0.599137189,-0.244881951,0.79585248,0.834052769
I1100,Turkey,Barçin,anatoliaEF,8300,40.3037,29.6085,F,-1.429006883,-1.271008969,-1.089935863,-1.251515306
I1101,Turkey,Barçin,anatoliaEF,8300,40.3037,29.6085,M,0.104967053,0.273990285,0.280305381,0.316744549
I1102,Turkey,Barçin,anatoliaEF,8300,40.3037,29.6085,M,-1.61871971,-1.226970716,-1.972986736,-1.944244871
I1103,Turkey,Barçin,anatoliaEF,8300,40.3037,29.6085,M,1.013078842,-0.054313886,-0.246930377,-0.212292261
I1579_published,Turkey,Barçin,anatoliaEF,8072,40.3037,29.6085,F,-0.3802465,0.4817621,-0.755588,-0.754051763
