V1,PC1,PC2,Ethnicity,Region
HGDP00511,0.0311,-0.0122,French,modern
HGDP00512,0.0267,-0.0108,French,modern
HGDP00513,0.0282,-0.013,French,modern
HGDP00514,0.031,-0.011,French,modern
HGDP00515,0.0326,-0.0136,French,modern
HGDP00516,0.0261,-0.0053,French,modern
HGDP00517,0.0296,-0.0127,French,modern
HGDP00518,0.0314,-0.0121,French,modern
HGDP00519,0.0362,-0.0069,French,modern
HGDP00522,0.029,-0.0104,French,modern
HGDP00523,0.0351,-0.0118,French,modern
HGDP00524,0.0271,-0.0184,French,modern
HGDP00525,0.028,-0.0114,French,modern
HGDP00526,0.0313,-0.0102,French,modern
HGDP00527,0.0308,-0.0112,French,modern
HGDP00528,0.0304,-0.0113,French,modern
HGDP00529,0.028,-0.0116,French,modern
HGDP00531,0.0298,-0.0242,French,modern
HGDP00533,0.0382,-0.0044,French,modern
HGDP00534,0.0301,-0.0113,French,modern
HGDP00535,0.0358,-0.0078,French,modern
HGDP00536,0.0221,-0.0154,French,modern
HGDP00537,0.0274,-0.0119,French,modern
HGDP00538,0.0281,-0.013,French,modern
HGDP00539,0.0271,-0.0155,French,modern
HGDP00557,-0.0313,0.0139,Druze,modern
HGDP00558,-0.034,0.0164,Druze,modern
HGDP00559,-0.0288,0.0156,Druze,modern
HGDP00560,-0.0321,0.0226,Druze,modern
HGDP00561,-0.0306,0.0109,Druze,modern
HGDP00562,-0.031,0.0139,Druze,modern
HGDP00563,-0.0314,0.011,Druze,modern
HGDP00564,-0.0296,0.0147,Druze,modern
HGDP00565,-0.034,0.0156,Druze,modern
HGDP00566,-0.0314,0.0058,Druze,modern
HGDP00567,-0.0364,0.0171,Druze,modern
HGDP00568,-0.0315,0.0255,Druze,modern
HGDP00569,-0.0287,0.0124,Druze,modern
HGDP00571,-0.0251,0.0167,Druze,modern
HGDP00572,-0.0339,0.0171,Druze,modern
HGDP00573,-0.0309,0.0144,Druze,modern
HGDP00574,-0.0361,0.0201,Druze,modern
HGDP00575,-0.0318,0.0186,Druze,modern
HGDP00577,-0.0335,0.0167,Druze,modern
HGDP00578,-0.0309,0.0082,Druze,modern
HGDP00579,-0.0279,0.0066,Druze,modern
HGDP00580,-0.0266,0.0113,Druze,modern
HGDP00582,-0.0317,0.0104,Druze,modern
HGDP00583,-0.0339,0.0251,Druze,modern
HGDP00584,-0.0278,0.0134,Druze,modern
HGDP00586,-0.03,0.006,Druze,modern
HGDP00587,-0.0252,0.0098,Druze,modern
HGDP00588,-0.0357,0.0176,Druze,modern
HGDP00591,-0.0286,0.0168,Druze,modern
HGDP00594,-0.0324,0.0089,Druze,modern
HGDP00595,-0.0294,0.0189,Druze,modern
HGDP00597,-0.0301,0.0093,Druze,modern
HGDP00598,-0.0332,0.012,Druze,modern
HGDP00599,-0.0262,0.0204,Druze,modern
HGDP00600,-0.0286,0.0068,Druze,modern
HGDP00601,-0.035,0.0163,Druze,modern
HGDP00602,-0.0258,0.009,Druze,modern
HGDP00604,-0.0328,0.0201,Druze,modern
HGDP00606,-0.0283,0.0113,Druze,modern
HGDP00607,-0.076,-0.0584,BedouinB,modern
HGDP00608,-0.0624,-0.0367,BedouinB,modern
HGDP00609,-0.0522,-0.017,BedouinA,modern
HGDP00610,-0.0767,-0.0709,BedouinB,modern
HGDP00611,-0.0833,-0.0678,BedouinA,modern
HGDP00612,-0.0804,-0.0749,BedouinB,modern
