dna_ID,PC1,PC2,Ethnicity,Region
HGDP00511,0.0328,-0.0131,French,modern
HGDP00512,0.0283,-0.0116,French,modern
HGDP00513,0.0298,-0.0139,French,modern
HGDP00514,0.0328,-0.0118,French,modern
HGDP00515,0.0344,-0.0146,French,modern
HGDP00516,0.0276,-0.0057,French,modern
HGDP00517,0.0312,-0.0137,French,modern
HGDP00518,0.0332,-0.013,French,modern
HGDP00519,0.0383,-0.0074,French,modern
HGDP00522,0.0306,-0.0111,French,modern
HGDP00523,0.0371,-0.0126,French,modern
HGDP00524,0.0287,-0.0198,French,modern
HGDP00525,0.0296,-0.0122,French,modern
HGDP00526,0.0331,-0.0109,French,modern
HGDP00527,0.0325,-0.012,French,modern
HGDP00528,0.0321,-0.0122,French,modern
HGDP00529,0.0296,-0.0125,French,modern
HGDP00531,0.0314,-0.0259,French,modern
HGDP00533,0.0404,-0.0047,French,modern
HGDP00534,0.0319,-0.0121,French,modern
HGDP00535,0.0378,-0.0084,French,modern
HGDP00536,0.0233,-0.0165,French,modern
HGDP00537,0.029,-0.0128,French,modern
HGDP00538,0.0297,-0.0139,French,modern
HGDP00539,0.0287,-0.0166,French,modern
HGDP00557,-0.033,0.0149,Druze,modern
HGDP00558,-0.0359,0.0176,Druze,modern
HGDP00559,-0.0304,0.0167,Druze,modern
HGDP00560,-0.034,0.0243,Druze,modern
HGDP00561,-0.0323,0.0117,Druze,modern
HGDP00562,-0.0327,0.0149,Druze,modern
HGDP00563,-0.0332,0.0118,Druze,modern
HGDP00564,-0.0313,0.0158,Druze,modern
HGDP00565,-0.036,0.0168,Druze,modern
HGDP00566,-0.0331,0.0063,Druze,modern
HGDP00567,-0.0384,0.0183,Druze,modern
HGDP00568,-0.0333,0.0274,Druze,modern
HGDP00569,-0.0304,0.0133,Druze,modern
HGDP00571,-0.0265,0.0179,Druze,modern
HGDP00572,-0.0358,0.0183,Druze,modern
HGDP00573,-0.0326,0.0154,Druze,modern
HGDP00574,-0.0381,0.0215,Druze,modern
HGDP00575,-0.0336,0.02,Druze,modern
HGDP00577,-0.0354,0.0179,Druze,modern
HGDP00578,-0.0327,0.0088,Druze,modern
HGDP00579,-0.0295,0.007,Druze,modern
HGDP00580,-0.0281,0.0121,Druze,modern
HGDP00582,-0.0335,0.0111,Druze,modern
HGDP00583,-0.0359,0.0269,Druze,modern
HGDP00584,-0.0294,0.0144,Druze,modern
HGDP00586,-0.0317,0.0064,Druze,modern
HGDP00587,-0.0267,0.0105,Druze,modern
HGDP00588,-0.0377,0.0188,Druze,modern
HGDP00591,-0.0302,0.0181,Druze,modern
HGDP00594,-0.0342,0.0096,Druze,modern
HGDP00595,-0.031,0.0203,Druze,modern
HGDP00597,-0.0318,0.01,Druze,modern
HGDP00598,-0.0351,0.0128,Druze,modern
HGDP00599,-0.0277,0.0219,Druze,modern
HGDP00600,-0.0303,0.0072,Druze,modern
HGDP00601,-0.037,0.0175,Druze,modern
HGDP00602,-0.0273,0.0097,Druze,modern
HGDP00604,-0.0346,0.0216,Druze,modern
HGDP00606,-0.0299,0.0121,Druze,modern
HGDP00607,-0.0804,-0.0627,BedouinB,modern
HGDP00608,-0.0659,-0.0394,BedouinB,modern
HGDP00609,-0.0551,-0.0183,BedouinA,modern
HGDP00610,-0.0811,-0.0761,BedouinB,modern
HGDP00611,-0.0881,-0.0728,BedouinA,modern
HGDP00612,-0.085,-0.0804,BedouinB,modern
HGDP00613,-0.0472,-0.0027,BedouinA,modern
HGDP00614,-0.0597,-0.0173,BedouinA,modern
HGDP00615,-0.0559,-0.0151,BedouinA,modern
HGDP00616,-0.0784,-0.0833,BedouinB,modern
HGDP00618,-0.0825,-0.0754,BedouinB,modern
HGDP00619,-0.051,-0.0113,BedouinA,modern
HGDP00620,-0.0695,-0.0289,BedouinA,modern
HGDP00622,-0.0574,-0.0202,BedouinA,modern
HGDP00623,-0.0813,-0.069,BedouinB,modern
HGDP00624,-0.0783,-0.059,BedouinB,modern
HGDP00625,-0.0511,-0.0199,BedouinA,modern
HGDP00626,-0.0559,-0.0196,BedouinA,modern
HGDP00628,-0.0555,-0.0193,BedouinA,modern
HGDP00629,-0.0522,-0.0173,BedouinA,modern
HGDP00630,-0.0867,-0.0907,BedouinB,modern
HGDP00631,-0.0855,-0.0806,BedouinB,modern
HGDP00632,-0.0827,-0.0518,BedouinA,modern
HGDP00634,-0.0747,-0.0431,BedouinA,modern
HGDP00635,-0.0528,-0.0128,BedouinA,modern
HGDP00636,-0.0741,-0.0505,BedouinB,modern
HGDP00637,-0.0564,-0.0127,BedouinA,modern
HGDP00638,-0.067,-0.0357,BedouinA,modern
HGDP00639,-0.0567,-0.0287,BedouinA,modern
HGDP00640,-0.075,-0.0475,BedouinA,modern
HGDP00641,-0.0754,-0.0608,BedouinB,modern
HGDP00642,-0.0578,-0.0154,BedouinA,modern
HGDP00643,-0.0759,-0.0651,BedouinB,modern
HGDP00644,-0.0474,-0.008,BedouinA,modern
HGDP00645,-0.0525,-0.0094,BedouinA,modern
HGDP00646,-0.0957,-0.0816,BedouinA,modern
HGDP00647,-0.0511,-0.0137,BedouinA,modern
HGDP00648,-0.0753,-0.0651,BedouinB,modern
HGDP00649,-0.0813,-0.0783,BedouinB,modern
HGDP00650,-0.0719,-0.0609,BedouinB,modern
HGDP00651,-0.075,-0.0564,BedouinB,modern
HGDP00653,-0.0777,-0.0563,BedouinB,modern
HGDP00654,-0.0401,0.0012,BedouinA,modern
HGDP00666,0.0094,-0.0393,Sardinian,modern
HGDP00667,0.0143,-0.0387,Sardinian,modern
HGDP00668,0.0113,-0.0437,Sardinian,modern
HGDP00669,0.0107,-0.042,Sardinian,modern
HGDP00670,0.0103,-0.0437,Sardinian,modern
HGDP00671,0.0121,-0.0422,Sardinian,modern
HGDP00672,0.0084,-0.0393,Sardinian,modern
HGDP00673,0.0077,-0.0387,Sardinian,modern
HGDP00674,0.0119,-0.0431,Sardinian,modern
HGDP00675,-0.0484,-0.0018,Palestinian,modern
HGDP00676,-0.0446,-0.002,Palestinian,modern
HGDP00677,-0.0468,-0.0035,Palestinian,modern
HGDP00679,-0.0447,-1.00E-04,Palestinian,modern
HGDP00680,-0.0548,-0.0139,Palestinian,modern
HGDP00683,-0.0512,-0.0045,Palestinian,modern
HGDP00684,-0.0463,-0.0104,Palestinian,modern
HGDP00685,-0.0572,-0.0143,Palestinian,modern
HGDP00686,-0.0479,-0.0091,Palestinian,modern
HGDP00687,-0.0469,-0.0031,Palestinian,modern
HGDP00688,-0.0394,-7.00E-04,Palestinian,modern
HGDP00689,-0.0447,-0.0043,Palestinian,modern
HGDP00690,-0.046,-0.0027,Palestinian,modern
HGDP00691,-0.048,-0.0081,Palestinian,modern
HGDP00694,-0.0434,-0.0011,Palestinian,modern
HGDP00696,-0.0438,0.0019,Palestinian,modern
HGDP00697,-0.0473,-0.0103,Palestinian,modern
HGDP00698,-0.0455,-0.0035,Palestinian,modern
HGDP00699,-0.0427,-0.003,Palestinian,modern
HGDP00700,-0.0478,-0.0103,Palestinian,modern
HGDP00701,-0.0787,-0.0715,BedouinB,modern
HGDP00722,-0.0416,-0.0014,Palestinian,modern
HGDP00724,-0.0478,-0.0028,Palestinian,modern
HGDP00725,-0.0454,-0.0016,Palestinian,modern
HGDP00726,-0.0504,-0.0063,Palestinian,modern
HGDP00727,-0.0451,-0.0036,Palestinian,modern
HGDP00729,-0.0489,-0.0065,Palestinian,modern
HGDP00730,-0.0451,-0.0013,Palestinian,modern
HGDP00731,-0.0589,-0.0141,Palestinian,modern
HGDP00732,-0.0493,-0.0084,Palestinian,modern
HGDP00733,-0.0486,-0.0058,Palestinian,modern
HGDP00734,-0.0456,-0.0011,Palestinian,modern
HGDP00735,-0.0458,-0.0042,Palestinian,modern
HGDP00736,-0.0419,-5.00E-04,Palestinian,modern
HGDP00737,-0.0517,-0.0081,Palestinian,modern
HGDP00739,-0.0508,-0.0078,Palestinian,modern
HGDP00740,-0.0441,-0.0058,Palestinian,modern
HGDP00741,-0.0427,-0.0055,Palestinian,modern
HGDP00745,-0.0423,8.00E-04,Palestinian,modern
HGDP00794,0.0405,-0.0084,Orcadian,modern
HGDP00796,0.0405,-0.0085,Orcadian,modern
HGDP00797,0.0409,-0.0102,Orcadian,modern
HGDP00798,0.0394,-0.0066,Orcadian,modern
HGDP00799,0.0437,-0.0089,Orcadian,modern
HGDP00800,0.0415,-0.0091,Orcadian,modern
HGDP00802,0.0428,-0.0098,Orcadian,modern
HGDP00803,0.0404,-0.0072,Orcadian,modern
HGDP00805,0.0429,-0.0082,Orcadian,modern
HGDP00806,0.0406,-0.0092,Orcadian,modern
HGDP00807,0.0424,-0.0078,Orcadian,modern
HGDP00808,0.042,-0.0102,Orcadian,modern
HGDP00810,0.0397,-0.0077,Orcadian,modern
HGDP00879,0.0445,0.0122,Russian,modern
HGDP00880,0.0455,0.0121,Russian,modern
HGDP00882,0.0453,0.0122,Russian,modern
HGDP00883,0.0495,0.0104,Russian,modern
HGDP00884,0.0449,0.0067,Russian,modern
HGDP00887,0.043,0.0081,Russian,modern
HGDP00888,0.0429,0.0076,Russian,modern
HGDP00889,0.0451,0.0106,Russian,modern
HGDP00890,0.0478,0.011,Russian,modern
HGDP00891,0.0442,0.0129,Russian,modern
HGDP00892,0.0484,0.01,Russian,modern
HGDP00893,0.0468,0.0125,Russian,modern
HGDP00894,0.0433,0.0114,Russian,modern
HGDP00895,0.0464,0.0102,Russian,modern
HGDP00896,0.0437,0.0134,Russian,modern
HGDP00897,0.0445,0.0125,Russian,modern
HGDP00898,0.0463,0.0164,Russian,modern
HGDP00899,0.0433,0.0127,Russian,modern
HGDP00900,0.0447,0.0066,Russian,modern
HGDP00901,0.0447,0.0099,Russian,modern
HGDP00902,0.0442,0.013,Russian,modern
HGDP00903,0.0464,0.0087,Russian,modern
HGDP01062,0.0098,-0.0426,Sardinian,modern
HGDP01063,0.0098,-0.0423,Sardinian,modern
HGDP01064,0.0096,-0.0458,Sardinian,modern
HGDP01065,0.0132,-0.0434,Sardinian,modern
HGDP01066,0.0109,-0.0489,Sardinian,modern
HGDP01067,0.0071,-0.042,Sardinian,modern
HGDP01068,0.0073,-0.0373,Sardinian,modern
HGDP01069,0.0119,-0.0433,Sardinian,modern
HGDP01070,0.0094,-0.0425,Sardinian,modern
HGDP01071,0.0088,-0.0407,Sardinian,modern
HGDP01072,0.007,-0.0389,Sardinian,modern
HGDP01073,0.01,-0.041,Sardinian,modern
HGDP01074,0.0102,-0.0414,Sardinian,modern
HGDP01075,0.0079,-0.0439,Sardinian,modern
HGDP01076,0.0097,-0.0404,Sardinian,modern
HGDP01077,0.0108,-0.0367,Sardinian,modern
HGDP01078,0.0109,-0.0386,Sardinian,modern
HGDP01079,0.012,-0.0426,Sardinian,modern
HGDP01147,0.0198,-0.0119,Italian_North,modern
HGDP01151,0.0217,-0.0154,Italian_North,modern
